scenario_id,region_name,location_address,complainant_location_text,smell_type,smell_intensity,smell_duration,suspected_location_text,out__claude-opus-4-8
154,충청도,청양군,드림팰리스 아파트3차 인근,액비 냄새,낮에는 약하다가 저녁에 급격히 심해짐,미언급,성광빌딩,"상담원: 안녕하세요. 청양군 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아유, 여보세유. 여기 드림팰리스 아파트3차 근처에 사는디, 냄새 땜에 아주 못 살겄슈. 좀 어떻게 해줘유.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새가 나는지 조금 더 자세히 말씀해 주시겠어요?

민원인: 그게 뭐랄까, 액비 냄새여유. 축산 거름 뿌린 것맹키로 시큼하고 구린 그런 냄새 있잖유. 창문도 못 열어유.

상담원: 네, 액비 냄새로 확인하겠습니다. 지금 계신 위치가 드림팰리스 아파트3차 인근이 맞으실까요?

민원인: 맞어유. 아파트3차 바로 앞 동인디, 저녁만 되믄 아주 골치가 아파유.

상담원: 냄새 강도가 시간대에 따라 달라지나요?

민원인: 그렇쥬. 낮에는 살살 나서 참을 만헌디, 저녁 되믄 아주 확 심해져유. 밥 먹다가도 속이 미식거릴 정도라니께.

상담원: 그러시군요. 혹시 냄새가 어디서 나는지 짐작 가는 곳이 있으신가요?

민원인: 내 생각엔 성광빌딩 쪽서 넘어오는 거 같유. 바람 그쪽서 불믄 유독 더 심허거든유. 아무래도 거기가 수상혀유.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
155,강원도,춘천시,퇴계주공4차아파트,아스콘 냄새,미언급,한 번 발생하면 서너 시간씩 지속되는 상태가 며칠째 반복,미언급,"상담원: 안녕하세요. 춘천시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 저기 냄새 때문에 전화했잖소. 요 며칠 코가 아주 매워서 못 살겠소.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 조금 더 자세히 말씀해 주시겠어요?

민원인: 그게 무슨 아스콘 냄새 같은 게 나요. 도로 포장할 때 나는 그 시커먼 기름 냄새 있잖소. 딱 그거래요.

상담원: 알겠습니다. 지금 계신 위치가 어디신지 여쭤봐도 될까요?

민원인: 여 퇴계주공4차아파트요. 창문만 열면 그 냄새가 확 들어오니 아주 골치가 아프우야.

상담원: 네, 확인했습니다. 냄새가 하루 중에 특정 시간에 심하거나, 얼마나 오래 지속되나요?

민원인: 그게 한 번 났다 하면 서너 시간씩은 가요. 며칠째 계속 이러니 사람이 아주 답답해 죽겠소.

상담원: 많이 힘드셨겠습니다. 혹시 냄새가 어느 방향에서 오는지, 짐작 가시는 곳이 있으신가요?

민원인: 그건 나도 잘 모르겠소. 그냥 바람 불면 어디선가 확 밀려오니 딱 집어 말하기가 어렵네요.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
156,경상도,포항시,두산자이,공업용 세제 냄새,미언급,미언급,미언급,"상담원: 안녕하세요. 포항시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 요 며칠 냄새 때문에 도저히 못 살겠어예. 뭔가 화학약품 같은 게 계속 코를 찌른다카는데 신고 좀 하려꼬 전화했심더.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 조금 더 자세히 말씀해 주실 수 있을까요?

민원인: 그게예, 무슨 공장에서 쓰는 세제 냄새 같기도 하고예. 락스인지 세정제인지 그런 독한 냄새라예. 창문을 못 열어놓겠심더.

상담원: 알겠습니다. 지금 계신 위치가 어디쯤인지 알려주시겠어요?

민원인: 여기 두산자이 아파트라예. 집 안에까지 냄새가 들어오이 머리가 다 아픕니더.

상담원: 두산자이 아파트시군요. 냄새가 시간이 지나면서 더 심해지거나 약해지는 변화가 있으셨나요?

민원인: 그건 잘 모르겠고예. 딱 언제부터 심했다 이런 건 안 재봐서 잘 모르겠심더. 그냥 요새 계속 이래예.

상담원: 알겠습니다. 혹시 냄새가 어느 쪽에서 나는지 짐작 가는 곳이 있으신가요?

민원인: 그것도 딱히 어데다 말 못하겠어예. 그냥 바람 불면 확 오는데 어느 방향인지는 잘 모르겠심더. 좀 빨리 알아봐 주이소.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
157,전라도,순천시,중흥S클래스에듀하이10단지아파트 인근,미언급,미언급,아주 짧게 한 10분 동안 지속되다가 끝남,미언급,"상담원: 안녕하세요. 순천시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아 예, 여그 중흥S클래스에듀하이10단지 아파트 근처 사는 사람인디, 아까 갑자기 이상한 냄새가 확 올라와가꼬 전화혔소.

상담원: 불편을 드려 죄송합니다. 혹시 어떤 종류의 냄새였는지 기억나시나요? 예를 들어 하수구 냄새나 탄 냄새 같은 거요.

민원인: 그것이 참말로 뭐라 딱 꼬집어 말하기가 애매해라. 그냥 코를 찌르는 요상한 냄새였는디, 무슨 냄새인지는 나도 잘 모르겄네.

상담원: 알겠습니다. 그럼 냄새를 맡으신 위치는 아파트 단지 안쪽이셨나요, 아니면 밖에 계실 때였나요?

민원인: 단지 바로 앞이었제. 애들 학교 데려다주고 오는 길인디 갑자기 훅 하고 들어오드랑께.

상담원: 그러셨군요. 냄새 강도는 어땠나요? 처음부터 강했는지, 아니면 점점 심해졌는지요.

민원인: 아니, 첨부터 확 세게 났어라. 근디 강허다가도 오래 안 가고 금방 사그라들드만.

상담원: 그럼 냄새가 지속된 시간은 어느 정도였을까요?

민원인: 오래는 안 갔소. 한 십 분 정도 나다가 딱 끊어져불드랑께. 그래도 순간적으로 확 나니께 겁나 신경 쓰이제.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
158,제주도,제주시,미듬아뜨리에아파트103동,접착제 냄새,미언급,지난 9일째 매일 오후 5시에,미언급,"상담원: 안녕하세요. 제주시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 게난 우리 아파트에 냄새가 나난 전화헌 거우다. 하도 답답행 참다 참다 연락헤수다.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 조금 더 자세히 말씀해 주시겠어요?

민원인: 이게 무신 접착제 같은 냄새라마씸. 본드 같은 거 뚜껑 열엉 확 코 찌르는 그런 냄새우다.

상담원: 접착제 냄새시군요. 지금 어디에서 그런 냄새를 느끼고 계신지 위치를 알려주시겠어요?

민원인: 미듬아뜨리에아파트 103동이우다. 우리 집 창문만 열민 그 냄새가 확 들어와부난 창문도 못 열엄수다.

상담원: 네, 미듬아뜨리에아파트 103동이시군요. 혹시 냄새가 며칠째, 어느 시간대에 나는지 기억하시나요?

민원인: 이게 벌써 아흐레째우다게. 매일 오후 다섯시쯤 되민 딱 그 냄새가 나기 시작허난 진짜 미치켜.

상담원: 매일 오후 5시경에 반복되는군요. 혹시 냄새가 어디에서 오는 것 같은지 짐작 가는 곳이 있으신가요?

민원인: 그게 어디서 오는지 딱 모르쿠다. 게난 답답헌 거우다. 아이덜도 냄새난다 골으멍 밥도 잘 안 먹엄수게.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
159,충청도,제천시,동현현대아파트 맞은편,썩은 야채 냄새,바람이 불면 심해졌다가 잦아들면 약해짐,미언급,미언급,"상담원: 안녕하세요. 제천시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 여기 냄새가 너무 심해가지구 전화혔슈. 도저히 창문을 못 열겄어유.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 조금 더 자세히 말씀해 주시겠어요?

민원인: 뭐랄까, 썩은 야채 냄새 같은 거 있잖유. 배추 같은 게 푹 상혀서 나는 그런 쿰쿰한 내가 나유.

상담원: 알겠습니다. 지금 계신 위치나 주소를 알려주시겠어요?

민원인: 여기 동현현대아파트 맞은편이유. 그짝에서 냄새가 훅훅 넘어오는 거 같은디 참말로 못 살겄네.

상담원: 네, 위치 확인했습니다. 그 냄새가 계속 일정하게 나는 편인가요, 아니면 강도가 달라지나요?

민원인: 그게 바람 불면 확 심해졌다가 또 잠잠혀지면 좀 나아지구 그류. 바람 방향 따라서 왔다갔다 하는 거 같유.

상담원: 그러시군요. 혹시 어디서 냄새가 나는지 짐작 가시는 곳이 있으신가요?

민원인: 그건 잘 모르겄슈. 그냥 맞은편에서 넘어오는 거 같기는 헌디 정확히는 어딘지 모르겄네유. 얼른 좀 봐줬으면 좋겄슈.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
160,강원도,양양군,설악힐링타운,낙엽 타는 냄새,바람이 강한 날 유난히 심해짐,지난주 월요일부터 10일 내내 계속,미언급,"상담원: 안녕하세요. 양양군 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 여보세요. 요 며칠 집 안에서까지 냄새가 나서 도저히 못 견디겠소. 이게 무슨 낙엽 태우는 것 같은 냄새가 계속 나잖소.

상담원: 불편을 드려 죄송합니다. 지금 말씀하신 냄새가 낙엽 타는 냄새 같은 그런 종류가 맞으실까요?

민원인: 맞소, 맞소. 마당에서 뭐 태우는 것마냥 매캐하고 눈이 다 따가운 그런 냄새래요. 이게 예사롭지가 않아요.

상담원: 알겠습니다. 그러면 지금 계신 위치를 좀 여쭤봐도 될까요?

민원인: 여기 설악힐링타운이래요. 여기 사는데 아주 냄새 때문에 창문도 못 열고 있소.

상담원: 확인했습니다. 혹시 냄새 정도가 특정한 때에 더 심해지거나 하는 게 있으신가요?

민원인: 그기 참 이상한 게, 바람이 세게 부는 날이면 유난히 더 심해지우야. 바람만 좀 불면 코를 찌를 정도로 확 몰려오니 아주 골치가 아프우.

상담원: 그러시군요. 이 냄새가 언제부터 이어지고 있는지도 말씀해 주시겠어요?

민원인: 지난주 월요일부터니까 벌써 열흘째우. 하루도 안 빠지고 내내 이러니 사람이 아주 지치겠소. 얼른 좀 봐 주소.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
161,경상도,통영시,덕진왈츠1차아파트 맞은편,종이 타는 냄새,갑자기 심해졌다가 금방 약해짐,몇 년 동안 특정 요일 새벽마다 간헐적으로 반복됨,미언급,"상담원: 안녕하세요. 통영시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아 예, 제가 냄새 때문에 진짜 몇 년째 시달리가꼬 전화했심더. 좀 어떻게 안 되겠능교?

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 조금 더 자세히 말씀해 주시겠어요?

민원인: 뭐랄까, 종이 타는 그런 냄새라예. 뭐 태우는 거 같은 매캐한 냄새가 확 올라옵니더.

상담원: 알겠습니다. 현재 어느 지역에 계신지 위치를 알려주실 수 있을까요?

민원인: 여가 덕진왈츠1차아파트 맞은편입니더. 그쪽에 살고 있는데 냄새가 자꾸 이리로 넘어옵니더.

상담원: 확인했습니다. 냄새 강도는 계속 일정한가요, 아니면 변화가 있나요?

민원인: 그기 참 요상한 기, 갑자기 확 심해졌다가 또 금방 옅어지고 그래예. 코가 아플 정도로 진하다가 좀 있으모 사라지고 그럽니더.

상담원: 그렇군요. 이런 냄새가 주로 언제쯤 나는지 시간대나 요일 같은 게 있을까요?

민원인: 몇 년째 특정 요일 새벽마다 그라는데예. 잠도 다 깨뿌고 아주 미치겠심더. 매번 그 시간에만 딱 나이까네 뭘 태우는 거 아인가 싶고예.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
162,전라도,무안군,청계대호아파트,양파 썩는 냄새,아침 기상 직후 가장 심해짐,미언급,미언급,"상담원: 안녕하세요. 무안군 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 여기 청계대호아파트 사는 사람인디, 요새 냄새가 하도 심해서 못 살겄어라. 아침마다 코를 찌른당께.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 조금 더 자세히 말씀해 주실 수 있을까요?

민원인: 뭐랄까, 양파 썩는 냄새 있잖애. 그 쿰쿰허니 시큼헌 냄새가 확 올라온단 말이요. 아주 속이 다 미식거려라.

상담원: 그러셨군요. 지금 계신 곳이 청계대호아파트가 맞으실까요? 혹시 몇 동인지도 알려주시면 확인에 도움이 됩니다.

민원인: 맞소, 청계대호아파트. 나는 105동인디 옆 동 사람들도 죄다 냄새난다고 난리랑께. 우리만 그런 게 아니여.

상담원: 알겠습니다. 그 냄새가 특정 시간대에 더 심해지는지, 아니면 하루 종일 계속되는지 여쭤봐도 될까요?

민원인: 그게 아침에 딱 눈 뜨자마자가 젤로 지독혀라. 창문 열믄 바로 훅 들어와분께 아침마다 정신이 없당께.

상담원: 그렇군요. 혹시 냄새가 어느 방향에서 오는 것 같은지, 근처에 의심되는 장소가 있으신가요?

민원인: 그건 나도 잘 모르겄소. 그냥 밖에서 확 넘어오는 것 같은디, 어디서 오는지는 도통 알 수가 없어라. 좀 얼른 알아봐 주씨요.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
163,제주도,서귀포시,동홍동이편한세상아파트104동 맞은편,축사 냄새,미언급,방금 전 순간적으로 발생,미언급,"상담원: 안녕하세요. 서귀포시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 여기 동홍동인디 방금 냄새가 확 올라완게 전화했수다. 무신 냄새가 이추룩 지독한지 몰라마씀.

상담원: 불편을 드려 죄송합니다. 혹시 어떤 종류의 냄새인지 여쭤봐도 될까요?

민원인: 이거 딱 축사 냄새라마씸. 소똥인지 돼지똥인지 그런 냄새가 코를 확 찌르는게 마씀.

상담원: 네, 축사 냄새로 확인하겠습니다. 지금 계신 위치를 좀 더 자세히 말씀해 주시겠어요?

민원인: 동홍동 이편한세상아파트 104동 있지 않수과. 거기 바로 맞은편이우다. 여기 이서 확 맡아졌수다게... 아 이거 정말 못 살키여.

상담원: 위치 확인했습니다. 그럼 이 냄새가 계속 나고 있는지, 아니면 잠깐 나다가 사라졌는지 알려주시겠어요?

민원인: 계속 나는 건 아니고 방금 순간적으로 확 올라완 게, 지금은 좀 옅어졌수다. 게난 바람 불엄시난 또 확 올까 봐 걱정이라마씸.

상담원: 그렇군요. 혹시 냄새가 어느 쪽에서 나는지 짐작 가는 곳이 있으신가요?

민원인: 그건 잘 몰르쿠다. 어디서 오는지 알 수가 어시난 답답허우다. 아이고, 얼른 좀 봐줍서양.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
164,충청도,논산시,LH논산내동1단지 인근,정화조 냄새,미언급,몇 년 동안 매일 새벽 3시경에,미언급,"상담원: 안녕하세요. 논산시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 안녕하세유. 다름이 아니라 우리 동네 냄새 땜에 도저히 못 살겄어서 전화혔어유.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 여쭤봐도 될까요?

민원인: 그게 딱 정화조 냄새여유. 아주 구린내가 확 올라오는디, 화장실 정화조 퍼낼 때 나는 그 냄새 있잖유. 딱 그거유.

상담원: 알겠습니다. 지금 계신 위치가 어디쯤 되실까요?

민원인: 여가 LH논산내동1단지 바로 근처유. 아파트 있는 그짝 말이유. 밤마다 창문도 못 열고 아주 답답해 죽겄네유.

상담원: 냄새의 세기가 시간대에 따라 달라지거나 하는지 알 수 있을까요?

민원인: 세기가 어떻다기보담두, 참말로 몇 년째 매일같이 새복 3시쯤만 되면 그 냄새가 확 올라와유. 하루이틀이 아니라니께유. 잠자다가도 그 냄새에 깨유.

상담원: 몇 년 동안이나 반복되셨다니 정말 힘드셨겠습니다. 혹시 냄새가 어디서 나는지 짐작 가는 곳이 있으신가요?

민원인: 그게 나두 딱 잘은 모르겄어유. 그냥 새복녘에 어디서 훅 하고 넘어오는디, 워디가 근원인지는 통 모르겄네유. 그거 좀 알아봐 주셔유.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
165,강원도,원주시,흥화브라운빌아파트,쇠 타는 냄새,미언급,미언급,미언급,"상담원: 안녕하세요. 원주시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 저기요. 우리 동네에 쇠 타는 냄새가 자꾸 나서 전화했잖소. 이거 뭐 매캐하니 영 못 살겠소.

상담원: 불편을 드려 죄송합니다. 말씀하신 냄새가 쇠 타는 듯한 냄새가 맞으실까요?

민원인: 맞소, 맞소. 무슨 쇳덩이 지지는 것 같은 그런 냄새가 코를 찔러서, 아 이게 어디서 나는 건지 모르겠소.

상담원: 알겠습니다. 지금 계신 위치를 좀 더 자세히 말씀해 주시겠어요?

민원인: 여기 원주 흥화브라운빌아파트래요. 아파트 안에 있어도 냄새가 스멀스멀 들어오니 창문도 못 열겠소.

상담원: 흥화브라운빌아파트에 계시는군요. 혹시 냄새가 특정 시간대에 더 심해지거나 하는 경우가 있으신가요?

민원인: 그게 참 종잡을 수가 없어요. 어느 순간 확 나다가 또 좀 있으면 슥 사라지고 그러니까 더 답답하잖소.

상담원: 그러셨군요. 혹시 냄새가 어느 방향에서 흘러오는지, 짐작 가시는 곳이 있으실까요?

민원인: 그건 잘 모르겠소. 그냥 바람 불면 훅 밀려오는 거라 어디서 나는 건지 통 알 수가 없어. 좀 빨리 알아봐 주우야.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
166,경상도,구미시,구미확장단지 골드클래스 인근,미언급,오후에는 심하다가 저녁에 약해짐,아주 짧게 한 10분 동안 지속되다가 끝남,미언급,"상담원: 안녕하세요. 구미시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 여보세요. 우리 동네에 냄새가 하도 나서 전화 좀 했심더. 도저히 못 참겠어예.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 여쭤봐도 될까요? 예를 들어 하수구 냄새나 화학약품 냄새 같은 것 말입니다.

민원인: 그게 딱 뭐라 말하기가 애매하네예. 그냥 코가 팍 찌르는 이상한 냄새라가 뭐라고 콕 집어 말은 못하겠고예.

상담원: 알겠습니다. 그러면 지금 계신 위치가 어디쯤 되시는지 말씀해 주시겠어요?

민원인: 여가 구미확장단지 골드클래스 아파트 바로 근처라예. 그쪽으로 냄새가 확 몰려오는 기라.

상담원: 확인했습니다. 그 냄새가 하루 종일 나는 편인가요, 아니면 시간대에 따라 차이가 있나요?

민원인: 그기 참 희한한 기, 낮에 한 오후쯤 되면 냄새가 억수로 심해지다가 저녁 되면 좀 약해지드라고예. 그래가 더 신경 쓰이고 답답하다 아입니꺼.

상담원: 그렇군요. 냄새가 한 번 날 때는 얼마나 오래 지속되던가요?

민원인: 오래 가는 건 아이고예. 딱 한 십 분쯤 짧게 확 났다가 금방 사라져뿌는 기라. 그래도 그 십 분이 을매나 지독한지 모릅니더.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
167,전라도,북구,중외공원 모아미래도아파트,매연 냄새,미언급,미언급,미언급,"상담원: 안녕하세요. 북구 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 여기 냄새 땜시 도저히 못 살겄어라. 창문도 못 열고 있당께요.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 여쭤봐도 될까요?

민원인: 뭔 매연 냄새 같은 게 코를 콱 찌른당께요. 자동차 배기가스 같은 그런 매캐한 냄새여라.

상담원: 알겠습니다. 지금 계신 위치를 말씀해 주시겠어요?

민원인: 여그 중외공원 쪽에 있는 모아미래도아파트여라. 아파트 안까지 냄새가 다 들어와붕께 미치겄어요.

상담원: 네, 위치 확인했습니다. 냄새가 시간에 따라 심해지거나 약해지는 변화가 있으신가요?

민원인: 그것까지는 잘 모르겄고라, 그냥 아까부텀 계속 매캐혀서 언제부터 시작됐는지도 딱히 모르겄어라.

상담원: 알겠습니다. 혹시 어디서 냄새가 나는지 짐작 가는 곳이 있으신지요?

민원인: 워디서 나는지는 나도 통 모르겄어라. 그냥 냄새만 자꾸 들어와서 답답해 죽겄당께요.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
168,제주도,제주시,빌라드애월호텔,석탄 타는 냄새,미언급,아까 오전 10시경 한 10분 동안 지속되다가 사라짐,미언급,"상담원: 안녕하세요. 제주시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아, 예. 다름이 아니라게 냄새가 하도 이상해서 전화헌 거우다. 뭔가 타는 냄새가 확 나난에 코가 매워지곡 해서마씸.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새였는지 조금 더 자세히 말씀해 주시겠어요?

민원인: 게메마씸, 무신 석탄 태우는 그런 냄새라수다. 매캐허곡 캥캥헌 게 옛날 연탄 피울 때 나는 그런 냄새 닮아나신게.

상담원: 알겠습니다. 지금 계신 위치가 어디신지 알려주실 수 있을까요?

민원인: 나 지금 애월에 빌라드애월호텔에 이수다게. 여기 방 안까지 냄새가 들어오난 창문도 못 열엄수다.

상담원: 네, 위치 확인했습니다. 그 냄새가 지금도 계속 나고 있나요, 아니면 지금은 사라졌나요?

민원인: 지금은 어신게마씸. 아까 오전 열 시쯤 한 십 분 정도 확 나단에 갑자기 스르륵 없어져불엇수다. 어디서 나는지도 모르켜난 답답허우다.

상담원: 그러셨군요. 혹시 냄새가 어느 방향에서 오는지, 짐작 가는 곳이 있으셨나요?

민원인: 그게 잘 몰르쿠다. 워낙 잠깐 나단에 사라져부난 어디서 온 건지 도무지 못 잡앗수다. 게난 더 신경 쓰이는 거라마씸.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
170,강원도,동해시,일정아파트,기름 타는 냄새,미언급,매일 저녁 6시 반부터 8시 반까지,미언급,"상담원: 안녕하세요. 동해시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 저기 냄새 땜에 전화했잖소. 저녁만 되면 뭔 기름 타는 냄새가 나서 통 못 살겠소.

상담원: 불편을 드려 죄송합니다. 말씀하신 냄새가 기름 타는 듯한 냄새가 맞으신가요?

민원인: 맞소, 맞소. 꼭 뭐 후라이팬에 기름 눌러붙어 타는 그런 냄새래요. 아주 코가 매캐하우야.

상담원: 알겠습니다. 지금 계신 위치가 어디신지 여쭤봐도 될까요?

민원인: 여기 일정아파트래요. 창문만 열어놓으면 그 냄새가 확 들어오니까 저녁에 밥도 못 먹겠소.

상담원: 일정아파트시군요. 혹시 냄새가 나는 시간대가 정해져 있는지 기억나시나요?

민원인: 그기 참 요상하우야. 매일 저녁 여섯 시 반쯤부터 나기 시작해가지고 여덟 시 반까지 계속 나잖소. 딱 그 시간만 되면 나니 미치겠소.

상담원: 혹시 냄새가 어느 방향에서 오는지, 짐작 가는 곳이 있으신가요?

민원인: 그건 나도 잘 모르겠소. 어디서 오는지는 통 감이 안 잡히우야. 그냥 사방에서 밀려오는 것 같애서 답답할 뿐이래요.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
171,경상도,해운대구,빌라봉신세계,상한 사료 냄새,미언급,지속시간은 알 수 없음,미언급,"상담원: 안녕하세요. 해운대구 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 예. 저기 우리 동네에 냄새가 하도 심해가꼬 전화 한번 드렸는데예. 이거 어데다 말해야 될지 몰라가 답답하네요.

상담원: 불편을 드려 죄송합니다. 어떤 냄새가 나는지 조금 더 구체적으로 말씀해 주시겠어요?

민원인: 뭐라캐야 되노… 딱 상한 사료 냄새라예. 개나 돼지 밥 썩은 그런 쿰쿰한 냄새 있잖습니꺼. 그기 코를 찌르는데 참말로 못 견디겠어예.

상담원: 알겠습니다. 지금 계신 위치가 어디신지 알려주시겠어요?

민원인: 여기 빌라봉신세계라꼬, 거서 살고 있는데예. 창문만 열면 그 냄새가 확 밀고 들어옵니더.

상담원: 네, 위치 확인했습니다. 혹시 냄새가 특정 시간대에 더 심하거나, 하루 종일 계속되는지 알 수 있을까요?

민원인: 그기 참 모르겠어예. 언제부터 그런지도 잘 모리겠고, 어떤 때는 나다가 또 어떤 때는 마 없어지고 하이 종잡을 수가 없네예.

상담원: 그러시군요. 혹시 냄새가 어디서 흘러나오는지 짐작 가는 곳이 있으신가요?

민원인: 그것도 딱히 모리겠심더. 어데서 오는 긴지 감이 안 잡히가꼬… 그저 냄새만 심하이 애가 타는기라예. 좀 빨리 봐주시면 좋겠어예.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
172,전라도,여수시,웅천부영3차아파트,불에 그을린 냄새,갑자기 심해졌다가 현재 약해짐,미언급,미언급,"상담원: 안녕하세요. 여수시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 여보세요. 저기 웅천부영3차아파트 사는 사람인디, 여그 냄새가 하도 이상혀서 전화혔어라.

상담원: 네, 불편을 드려 죄송합니다. 어떤 냄새가 나시는지 조금 더 자세히 말씀해 주시겠어요?

민원인: 뭐랄까, 꼭 뭐가 불에 타는 것맹키로 그을린 냄새가 나요잉. 처음엔 뭐가 홀랑 타부렀나 싶어서 깜짝 놀랐당께.

상담원: 불에 그을린 듯한 냄새시군요. 지금 계신 곳이 웅천부영3차아파트가 맞으실까요?

민원인: 맞어라. 3차 아파트 안쪽 동인디, 창문 열어놨다가 냄새 땜시 후딱 닫아부렀네.

상담원: 그러셨군요. 냄새 강도는 어떻게 변했는지 알 수 있을까요? 지금도 계속 심하신가요?

민원인: 그것이 아까는 확 심해져갖고 코가 매울 정도였는디, 시방은 쪼까 약해진 것 같기는 혀. 근디 언제 또 확 올라올랑가 몰라서 영 찝찝허당께.

상담원: 알겠습니다. 혹시 냄새가 어디에서 나는지 짐작 가시는 방향이나 장소가 있으실까요?

민원인: 아따, 그건 나도 잘 모르겄어라. 어디서 뭐를 태우는가 싶기도 헌디, 딱 짚을 수는 없구마.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
